,faridabad,utc_time
279,25.0,2019-07-23 12:00:00
280,21.0,2019-07-23 13:00:00
281,35.0,2019-07-23 14:00:00
282,51.0,2019-07-23 15:00:00
283,63.0,2019-07-23 16:00:00
284,83.0,2019-07-23 17:00:00
285,98.0,2019-07-23 18:00:00
286,127.0,2019-07-23 19:00:00
287,126.0,2019-07-23 20:00:00
288,103.0,2019-07-23 21:00:00
289,91.0,2019-07-23 22:00:00
290,91.0,2019-07-23 23:00:00
291,96.0,2019-07-24 00:00:00
292,58.0,2019-07-24 01:00:00
293,84.0,2019-07-24 02:00:00
294,46.0,2019-07-24 03:00:00
295,83.0,2019-07-24 04:00:00
296,65.0,2019-07-24 05:00:00
297,65.0,2019-07-24 06:00:00
298,75.0,2019-07-24 07:00:00
299,70.0,2019-07-24 08:00:00
300,45.0,2019-07-24 09:00:00
301,52.0,2019-07-24 10:00:00
302,52.0,2019-07-24 11:00:00
303,40.0,2019-07-24 12:00:00
304,31.0,2019-07-24 13:00:00
305,9.0,2019-07-24 14:00:00
306,9.0,2019-07-24 15:00:00
307,16.0,2019-07-24 16:00:00
308,11.0,2019-07-24 17:00:00
309,14.0,2019-07-24 18:00:00
310,18.0,2019-07-24 19:00:00
311,27.0,2019-07-24 20:00:00
312,19.0,2019-07-24 21:00:00
313,11.0,2019-07-24 22:00:00
314,8.0,2019-07-24 23:00:00
315,6.0,2019-07-25 00:00:00
316,5.0,2019-07-25 01:00:00
1791,,2019-07-25 02:00:00
317,30.0,2019-07-25 03:00:00
318,22.0,2019-07-25 04:00:00
319,22.0,2019-07-25 05:00:00
320,18.0,2019-07-25 06:00:00
321,27.0,2019-07-25 07:00:00
322,24.0,2019-07-25 08:00:00
323,24.0,2019-07-25 09:00:00
324,27.0,2019-07-25 10:00:00
325,27.0,2019-07-25 11:00:00
326,0.0,2019-07-25 12:00:00
327,13.0,2019-07-25 13:00:00
328,26.0,2019-07-25 14:00:00
329,20.0,2019-07-25 15:00:00
330,31.0,2019-07-25 16:00:00
331,31.0,2019-07-25 17:00:00
1792,,2019-07-25 18:00:00
1793,,2019-07-25 19:00:00
332,23.0,2019-07-25 20:00:00
333,24.0,2019-07-25 21:00:00
334,24.0,2019-07-25 22:00:00
335,27.0,2019-07-25 23:00:00
336,25.0,2019-07-26 00:00:00
337,21.0,2019-07-26 01:00:00
338,19.0,2019-07-26 02:00:00
339,27.0,2019-07-26 03:00:00
340,23.0,2019-07-26 04:00:00
341,23.0,2019-07-26 05:00:00
342,21.0,2019-07-26 06:00:00
343,24.0,2019-07-26 07:00:00
344,18.0,2019-07-26 08:00:00
345,6.0,2019-07-26 09:00:00
346,12.0,2019-07-26 10:00:00
1794,,2019-07-26 11:00:00
1795,,2019-07-26 12:00:00
347,24.0,2019-07-26 13:00:00
348,24.0,2019-07-26 14:00:00
349,23.0,2019-07-26 15:00:00
350,29.0,2019-07-26 16:00:00
351,25.0,2019-07-26 17:00:00
352,28.0,2019-07-26 18:00:00
353,7.0,2019-07-26 19:00:00
354,13.0,2019-07-26 20:00:00
355,8.0,2019-07-26 21:00:00
356,15.0,2019-07-26 22:00:00
357,15.0,2019-07-26 23:00:00
358,16.0,2019-07-27 00:00:00
359,10.0,2019-07-27 01:00:00
360,18.0,2019-07-27 02:00:00
361,18.0,2019-07-27 03:00:00
362,11.0,2019-07-27 04:00:00
363,11.0,2019-07-27 05:00:00
364,24.0,2019-07-27 06:00:00
365,11.0,2019-07-27 07:00:00
366,17.0,2019-07-27 08:00:00
367,13.0,2019-07-27 09:00:00
368,8.0,2019-07-27 10:00:00
369,15.0,2019-07-27 11:00:00
370,0.0,2019-07-27 12:00:00
371,2.0,2019-07-27 13:00:00
372,17.0,2019-07-27 14:00:00
373,20.0,2019-07-27 15:00:00
374,31.0,2019-07-27 16:00:00
375,38.0,2019-07-27 17:00:00
376,22.0,2019-07-27 18:00:00
377,21.0,2019-07-27 19:00:00
378,20.0,2019-07-27 20:00:00
379,15.0,2019-07-27 21:00:00
380,15.0,2019-07-27 22:00:00
381,6.0,2019-07-27 23:00:00
382,11.0,2019-07-28 00:00:00
383,8.0,2019-07-28 01:00:00
384,23.0,2019-07-28 02:00:00
385,16.0,2019-07-28 03:00:00
386,17.0,2019-07-28 04:00:00
387,17.0,2019-07-28 05:00:00
388,14.0,2019-07-28 06:00:00
389,19.0,2019-07-28 07:00:00
390,35.0,2019-07-28 08:00:00
391,14.0,2019-07-28 09:00:00
392,14.0,2019-07-28 10:00:00
393,20.0,2019-07-28 11:00:00
394,10.0,2019-07-28 12:00:00
395,7.0,2019-07-28 13:00:00
396,21.0,2019-07-28 14:00:00
397,17.0,2019-07-28 15:00:00
398,29.0,2019-07-28 16:00:00
399,28.0,2019-07-28 17:00:00
400,33.0,2019-07-28 18:00:00
401,25.0,2019-07-28 19:00:00
402,19.0,2019-07-28 20:00:00
403,16.0,2019-07-28 21:00:00
404,25.0,2019-07-28 22:00:00
405,13.0,2019-07-28 23:00:00
406,13.0,2019-07-29 00:00:00
407,14.0,2019-07-29 01:00:00
408,13.0,2019-07-29 02:00:00
409,17.0,2019-07-29 03:00:00
410,16.0,2019-07-29 04:00:00
411,16.0,2019-07-29 05:00:00
412,21.0,2019-07-29 06:00:00
413,24.0,2019-07-29 07:00:00
414,34.0,2019-07-29 08:00:00
415,35.0,2019-07-29 09:00:00
416,35.0,2019-07-29 10:00:00
417,23.0,2019-07-29 11:00:00
418,28.0,2019-07-29 12:00:00
419,26.0,2019-07-29 13:00:00
420,33.0,2019-07-29 14:00:00
421,37.0,2019-07-29 15:00:00
422,40.0,2019-07-29 16:00:00
423,31.0,2019-07-29 17:00:00
424,40.0,2019-07-29 18:00:00
425,36.0,2019-07-29 19:00:00
426,36.0,2019-07-29 20:00:00
427,19.0,2019-07-29 21:00:00
428,19.0,2019-07-29 22:00:00
429,17.0,2019-07-29 23:00:00
430,15.0,2019-07-30 00:00:00
431,20.0,2019-07-30 01:00:00
432,22.0,2019-07-30 02:00:00
433,14.0,2019-07-30 03:00:00
434,24.0,2019-07-30 04:00:00
435,24.0,2019-07-30 05:00:00
436,32.0,2019-07-30 06:00:00
437,38.0,2019-07-30 07:00:00
438,36.0,2019-07-30 08:00:00
439,29.0,2019-07-30 09:00:00
440,22.0,2019-07-30 10:00:00
441,23.0,2019-07-30 11:00:00
442,25.0,2019-07-30 12:00:00
443,48.0,2019-07-30 13:00:00
444,53.0,2019-07-30 14:00:00
445,60.0,2019-07-30 15:00:00
446,50.0,2019-07-30 16:00:00
447,54.0,2019-07-30 17:00:00
448,36.0,2019-07-30 18:00:00
449,22.0,2019-07-30 19:00:00
450,15.0,2019-07-30 20:00:00
451,15.0,2019-07-30 21:00:00
452,9.0,2019-07-30 22:00:00
453,14.0,2019-07-30 23:00:00
454,12.0,2019-07-31 00:00:00
455,10.0,2019-07-31 01:00:00
456,19.0,2019-07-31 02:00:00
457,28.0,2019-07-31 03:00:00
458,26.0,2019-07-31 04:00:00
459,26.0,2019-07-31 05:00:00
460,23.0,2019-07-31 06:00:00
461,30.0,2019-07-31 07:00:00
462,18.0,2019-07-31 08:00:00
463,40.0,2019-07-31 09:00:00
464,35.0,2019-07-31 10:00:00
465,24.0,2019-07-31 11:00:00
466,20.0,2019-07-31 12:00:00
467,20.0,2019-07-31 13:00:00
468,27.0,2019-07-31 14:00:00
469,27.0,2019-07-31 15:00:00
470,27.0,2019-07-31 16:00:00
471,30.0,2019-07-31 17:00:00
472,43.0,2019-07-31 18:00:00
473,35.0,2019-07-31 19:00:00
474,30.0,2019-07-31 20:00:00
475,31.0,2019-07-31 21:00:00
476,34.0,2019-07-31 22:00:00
477,30.0,2019-07-31 23:00:00
478,26.0,2019-08-01 00:00:00
479,38.0,2019-08-01 01:00:00
480,39.0,2019-08-01 02:00:00
481,59.0,2019-08-01 03:00:00
482,37.0,2019-08-01 04:00:00
483,37.0,2019-08-01 05:00:00
484,35.0,2019-08-01 06:00:00
485,0.0,2019-08-01 07:00:00
486,29.0,2019-08-01 08:00:00
487,23.0,2019-08-01 09:00:00
488,24.0,2019-08-01 10:00:00
489,24.0,2019-08-01 11:00:00
490,11.0,2019-08-01 12:00:00
491,16.0,2019-08-01 13:00:00
492,31.0,2019-08-01 14:00:00
493,31.0,2019-08-01 15:00:00
494,40.0,2019-08-01 16:00:00
495,31.0,2019-08-01 17:00:00
496,29.0,2019-08-01 18:00:00
497,21.0,2019-08-01 19:00:00
498,29.0,2019-08-01 20:00:00
499,17.0,2019-08-01 21:00:00
500,20.0,2019-08-01 22:00:00
501,24.0,2019-08-01 23:00:00
502,18.0,2019-08-02 00:00:00
503,25.0,2019-08-02 01:00:00
504,29.0,2019-08-02 02:00:00
505,27.0,2019-08-02 03:00:00
506,31.0,2019-08-02 04:00:00
507,31.0,2019-08-02 05:00:00
508,45.0,2019-08-02 06:00:00
509,34.0,2019-08-02 07:00:00
510,36.0,2019-08-02 08:00:00
511,38.0,2019-08-02 09:00:00
512,26.0,2019-08-02 10:00:00
513,15.0,2019-08-02 11:00:00
514,22.0,2019-08-02 12:00:00
515,22.0,2019-08-02 13:00:00
516,35.0,2019-08-02 14:00:00
517,46.0,2019-08-02 15:00:00
518,43.0,2019-08-02 16:00:00
519,36.0,2019-08-02 17:00:00
520,29.0,2019-08-02 18:00:00
521,26.0,2019-08-02 19:00:00
