,rohini,local_time
288,25.0,2019-07-31 06:00:00
289,30.0,2019-07-31 07:00:00
290,34.0,2019-07-31 08:00:00
291,39.0,2019-07-31 09:00:00
292,47.0,2019-07-31 10:00:00
293,47.0,2019-07-31 11:00:00
294,33.0,2019-07-31 12:00:00
295,29.0,2019-07-31 13:00:00
296,30.0,2019-07-31 14:00:00
297,31.0,2019-07-31 15:00:00
298,31.0,2019-07-31 16:00:00
299,25.0,2019-07-31 17:00:00
300,31.0,2019-07-31 18:00:00
301,28.0,2019-07-31 19:00:00
302,27.0,2019-07-31 20:00:00
303,38.0,2019-07-31 21:00:00
304,30.0,2019-07-31 22:00:00
305,61.0,2019-07-31 23:00:00
1708,,2019-08-01 00:00:00
306,96.0,2019-08-01 01:00:00
307,96.0,2019-08-01 02:00:00
308,53.0,2019-08-01 03:00:00
309,27.0,2019-08-01 04:00:00
310,31.0,2019-08-01 05:00:00
311,33.0,2019-08-01 06:00:00
312,30.0,2019-08-01 07:00:00
313,44.0,2019-08-01 08:00:00
314,36.0,2019-08-01 09:00:00
315,22.0,2019-08-01 10:00:00
316,31.0,2019-08-01 11:00:00
317,33.0,2019-08-01 12:00:00
318,36.0,2019-08-01 13:00:00
319,25.0,2019-08-01 14:00:00
320,30.0,2019-08-01 15:00:00
321,30.0,2019-08-01 16:00:00
322,34.0,2019-08-01 17:00:00
323,23.0,2019-08-01 18:00:00
324,23.0,2019-08-01 19:00:00
325,46.0,2019-08-01 20:00:00
326,58.0,2019-08-01 21:00:00
327,24.0,2019-08-01 22:00:00
328,29.0,2019-08-01 23:00:00
329,20.0,2019-08-02 00:00:00
330,18.0,2019-08-02 01:00:00
331,31.0,2019-08-02 02:00:00
332,23.0,2019-08-02 03:00:00
333,29.0,2019-08-02 04:00:00
334,27.0,2019-08-02 05:00:00
335,29.0,2019-08-02 06:00:00
336,30.0,2019-08-02 07:00:00
337,35.0,2019-08-02 08:00:00
338,42.0,2019-08-02 09:00:00
339,38.0,2019-08-02 10:00:00
340,25.0,2019-08-02 11:00:00
341,50.0,2019-08-02 12:00:00
342,53.0,2019-08-02 13:00:00
343,12.0,2019-08-02 14:00:00
344,17.0,2019-08-02 15:00:00
345,17.0,2019-08-02 16:00:00
346,18.0,2019-08-02 17:00:00
347,18.0,2019-08-02 18:00:00
348,23.0,2019-08-02 19:00:00
349,25.0,2019-08-02 20:00:00
350,45.0,2019-08-02 21:00:00
351,42.0,2019-08-02 22:00:00
352,44.0,2019-08-02 23:00:00
353,45.0,2019-08-03 00:00:00
354,34.0,2019-08-03 01:00:00
355,68.0,2019-08-03 02:00:00
356,58.0,2019-08-03 03:00:00
357,50.0,2019-08-03 04:00:00
358,97.0,2019-08-03 05:00:00
359,58.0,2019-08-03 06:00:00
360,84.0,2019-08-03 07:00:00
361,66.0,2019-08-03 08:00:00
362,68.0,2019-08-03 09:00:00
363,56.0,2019-08-03 10:00:00
364,19.0,2019-08-03 11:00:00
365,31.0,2019-08-03 12:00:00
366,46.0,2019-08-03 13:00:00
367,28.0,2019-08-03 14:00:00
368,36.0,2019-08-03 15:00:00
369,19.0,2019-08-03 16:00:00
370,16.0,2019-08-03 17:00:00
371,40.0,2019-08-03 18:00:00
372,40.0,2019-08-03 19:00:00
373,34.0,2019-08-03 20:00:00
374,48.0,2019-08-03 21:00:00
375,48.0,2019-08-03 22:00:00
376,59.0,2019-08-03 23:00:00
377,47.0,2019-08-04 00:00:00
378,107.0,2019-08-04 01:00:00
379,81.0,2019-08-04 02:00:00
380,61.0,2019-08-04 03:00:00
381,48.0,2019-08-04 04:00:00
382,42.0,2019-08-04 05:00:00
383,45.0,2019-08-04 06:00:00
384,55.0,2019-08-04 07:00:00
385,75.0,2019-08-04 08:00:00
386,48.0,2019-08-04 09:00:00
387,52.0,2019-08-04 10:00:00
388,57.0,2019-08-04 11:00:00
389,48.0,2019-08-04 12:00:00
390,47.0,2019-08-04 13:00:00
391,56.0,2019-08-04 14:00:00
392,47.0,2019-08-04 15:00:00
393,56.0,2019-08-04 16:00:00
394,40.0,2019-08-04 17:00:00
395,41.0,2019-08-04 18:00:00
396,50.0,2019-08-04 19:00:00
397,48.0,2019-08-04 20:00:00
398,119.0,2019-08-04 21:00:00
399,75.0,2019-08-04 22:00:00
400,92.0,2019-08-04 23:00:00
401,105.0,2019-08-05 00:00:00
402,72.0,2019-08-05 01:00:00
403,51.0,2019-08-05 02:00:00
404,41.0,2019-08-05 03:00:00
405,51.0,2019-08-05 04:00:00
406,64.0,2019-08-05 05:00:00
407,64.0,2019-08-05 06:00:00
408,56.0,2019-08-05 07:00:00
409,80.0,2019-08-05 08:00:00
410,77.0,2019-08-05 09:00:00
411,72.0,2019-08-05 10:00:00
412,68.0,2019-08-05 11:00:00
413,70.0,2019-08-05 12:00:00
414,67.0,2019-08-05 13:00:00
415,66.0,2019-08-05 14:00:00
416,50.0,2019-08-05 15:00:00
417,40.0,2019-08-05 16:00:00
418,56.0,2019-08-05 17:00:00
419,62.0,2019-08-05 18:00:00
420,56.0,2019-08-05 19:00:00
421,56.0,2019-08-05 20:00:00
422,55.0,2019-08-05 21:00:00
423,59.0,2019-08-05 22:00:00
424,53.0,2019-08-05 23:00:00
425,39.0,2019-08-06 00:00:00
426,42.0,2019-08-06 01:00:00
427,42.0,2019-08-06 02:00:00
428,39.0,2019-08-06 03:00:00
429,48.0,2019-08-06 04:00:00
430,53.0,2019-08-06 05:00:00
431,57.0,2019-08-06 06:00:00
432,69.0,2019-08-06 07:00:00
433,27.0,2019-08-06 08:00:00
434,25.0,2019-08-06 09:00:00
435,25.0,2019-08-06 10:00:00
436,17.0,2019-08-06 11:00:00
437,11.0,2019-08-06 12:00:00
438,22.0,2019-08-06 13:00:00
439,25.0,2019-08-06 14:00:00
440,29.0,2019-08-06 15:00:00
441,36.0,2019-08-06 16:00:00
442,18.0,2019-08-06 17:00:00
443,19.0,2019-08-06 18:00:00
444,39.0,2019-08-06 19:00:00
445,45.0,2019-08-06 20:00:00
446,34.0,2019-08-06 21:00:00
447,36.0,2019-08-06 22:00:00
448,30.0,2019-08-06 23:00:00
449,52.0,2019-08-07 00:00:00
450,30.0,2019-08-07 01:00:00
451,42.0,2019-08-07 02:00:00
452,33.0,2019-08-07 03:00:00
453,38.0,2019-08-07 04:00:00
454,41.0,2019-08-07 05:00:00
455,30.0,2019-08-07 06:00:00
456,44.0,2019-08-07 07:00:00
457,67.0,2019-08-07 08:00:00
458,70.0,2019-08-07 09:00:00
459,41.0,2019-08-07 10:00:00
460,45.0,2019-08-07 11:00:00
461,51.0,2019-08-07 12:00:00
462,31.0,2019-08-07 13:00:00
463,14.0,2019-08-07 14:00:00
464,9.0,2019-08-07 15:00:00
465,9.0,2019-08-07 16:00:00
466,12.0,2019-08-07 17:00:00
467,7.0,2019-08-07 18:00:00
468,13.0,2019-08-07 19:00:00
469,42.0,2019-08-07 20:00:00
470,28.0,2019-08-07 21:00:00
471,30.0,2019-08-07 22:00:00
472,44.0,2019-08-07 23:00:00
473,31.0,2019-08-08 00:00:00
474,36.0,2019-08-08 01:00:00
475,42.0,2019-08-08 02:00:00
476,38.0,2019-08-08 03:00:00
477,39.0,2019-08-08 04:00:00
478,62.0,2019-08-08 05:00:00
479,51.0,2019-08-08 06:00:00
480,66.0,2019-08-08 07:00:00
481,103.0,2019-08-08 08:00:00
482,72.0,2019-08-08 09:00:00
483,24.0,2019-08-08 10:00:00
484,33.0,2019-08-08 11:00:00
485,30.0,2019-08-08 12:00:00
486,14.0,2019-08-08 13:00:00
487,18.0,2019-08-08 14:00:00
488,13.0,2019-08-08 15:00:00
489,14.0,2019-08-08 16:00:00
490,18.0,2019-08-08 17:00:00
491,20.0,2019-08-08 18:00:00
492,17.0,2019-08-08 19:00:00
493,44.0,2019-08-08 20:00:00
494,89.0,2019-08-08 21:00:00
495,63.0,2019-08-08 22:00:00
496,72.0,2019-08-08 23:00:00
497,52.0,2019-08-09 00:00:00
498,19.0,2019-08-09 01:00:00
499,3.0,2019-08-09 02:00:00
500,6.0,2019-08-09 03:00:00
501,7.0,2019-08-09 04:00:00
502,6.0,2019-08-09 05:00:00
503,6.0,2019-08-09 06:00:00
504,11.0,2019-08-09 07:00:00
505,17.0,2019-08-09 08:00:00
506,3.0,2019-08-09 09:00:00
507,5.0,2019-08-09 10:00:00
508,6.0,2019-08-09 11:00:00
509,12.0,2019-08-09 12:00:00
510,7.0,2019-08-09 13:00:00
511,8.0,2019-08-09 14:00:00
512,6.0,2019-08-09 15:00:00
513,9.0,2019-08-09 16:00:00
514,7.0,2019-08-09 17:00:00
515,13.0,2019-08-09 18:00:00
516,12.0,2019-08-09 19:00:00
517,22.0,2019-08-09 20:00:00
518,18.0,2019-08-09 21:00:00
519,13.0,2019-08-09 22:00:00
520,11.0,2019-08-09 23:00:00
521,19.0,2019-08-10 00:00:00
522,11.0,2019-08-10 01:00:00
523,27.0,2019-08-10 02:00:00
524,25.0,2019-08-10 03:00:00
525,22.0,2019-08-10 04:00:00
526,23.0,2019-08-10 05:00:00
527,27.0,2019-08-10 06:00:00
528,19.0,2019-08-10 07:00:00
529,18.0,2019-08-10 08:00:00
530,16.0,2019-08-10 09:00:00
531,18.0,2019-08-10 10:00:00
532,22.0,2019-08-10 11:00:00
533,23.0,2019-08-10 12:00:00
534,17.0,2019-08-10 13:00:00
535,7.0,2019-08-10 14:00:00
536,9.0,2019-08-10 15:00:00
537,5.0,2019-08-10 16:00:00
538,1.0,2019-08-10 17:00:00
539,12.0,2019-08-10 18:00:00
540,11.0,2019-08-10 19:00:00
541,9.0,2019-08-10 20:00:00
