,pm25,local_time
705,14.0,2019-09-01 14:00:00
706,16.0,2019-09-01 15:00:00
707,27.0,2019-09-01 16:00:00
708,13.0,2019-09-01 17:00:00
709,17.0,2019-09-01 18:00:00
710,27.0,2019-09-01 19:00:00
711,343.0,2019-09-01 20:00:00
712,40.0,2019-09-01 21:00:00
713,33.0,2019-09-01 22:00:00
714,28.0,2019-09-01 23:00:00
715,25.0,2019-09-02 00:00:00
716,42.0,2019-09-02 01:00:00
717,24.0,2019-09-02 02:00:00
718,30.0,2019-09-02 03:00:00
719,68.0,2019-09-02 04:00:00
720,29.0,2019-09-02 05:00:00
721,22.0,2019-09-02 06:00:00
722,40.0,2019-09-02 07:00:00
723,95.0,2019-09-02 08:00:00
724,50.0,2019-09-02 09:00:00
725,50.0,2019-09-02 10:00:00
726,46.0,2019-09-02 11:00:00
727,53.0,2019-09-02 12:00:00
728,57.0,2019-09-02 13:00:00
729,50.0,2019-09-02 14:00:00
730,33.0,2019-09-02 15:00:00
731,28.0,2019-09-02 16:00:00
732,34.0,2019-09-02 17:00:00
733,36.0,2019-09-02 18:00:00
734,41.0,2019-09-02 19:00:00
735,92.0,2019-09-02 20:00:00
736,91.0,2019-09-02 21:00:00
737,75.0,2019-09-02 22:00:00
738,85.0,2019-09-02 23:00:00
739,70.0,2019-09-03 00:00:00
740,74.0,2019-09-03 01:00:00
741,74.0,2019-09-03 02:00:00
742,64.0,2019-09-03 03:00:00
743,72.0,2019-09-03 04:00:00
744,70.0,2019-09-03 05:00:00
745,77.0,2019-09-03 06:00:00
746,99.0,2019-09-03 07:00:00
747,160.0,2019-09-03 08:00:00
748,91.0,2019-09-03 09:00:00
749,56.0,2019-09-03 10:00:00
750,57.0,2019-09-03 11:00:00
751,66.0,2019-09-03 12:00:00
752,64.0,2019-09-03 13:00:00
753,63.0,2019-09-03 14:00:00
754,66.0,2019-09-03 15:00:00
755,66.0,2019-09-03 16:00:00
756,66.0,2019-09-03 17:00:00
757,77.0,2019-09-03 18:00:00
758,155.0,2019-09-03 19:00:00
759,215.0,2019-09-03 20:00:00
760,122.0,2019-09-03 21:00:00
761,102.0,2019-09-03 22:00:00
762,84.0,2019-09-03 23:00:00
763,83.0,2019-09-04 00:00:00
764,88.0,2019-09-04 01:00:00
765,80.0,2019-09-04 02:00:00
766,77.0,2019-09-04 03:00:00
767,96.0,2019-09-04 04:00:00
768,99.0,2019-09-04 05:00:00
769,111.0,2019-09-04 06:00:00
770,125.0,2019-09-04 07:00:00
771,88.0,2019-09-04 08:00:00
772,80.0,2019-09-04 09:00:00
773,89.0,2019-09-04 10:00:00
774,97.0,2019-09-04 11:00:00
775,101.0,2019-09-04 12:00:00
776,81.0,2019-09-04 13:00:00
777,69.0,2019-09-04 14:00:00
778,64.0,2019-09-04 15:00:00
779,52.0,2019-09-04 16:00:00
780,42.0,2019-09-04 17:00:00
781,48.0,2019-09-04 18:00:00
782,75.0,2019-09-04 19:00:00
783,134.0,2019-09-04 20:00:00
784,70.0,2019-09-04 21:00:00
785,53.0,2019-09-04 22:00:00
786,42.0,2019-09-04 23:00:00
787,33.0,2019-09-05 00:00:00
788,31.0,2019-09-05 01:00:00
789,30.0,2019-09-05 02:00:00
790,34.0,2019-09-05 03:00:00
791,33.0,2019-09-05 04:00:00
792,28.0,2019-09-05 05:00:00
793,27.0,2019-09-05 06:00:00
794,119.0,2019-09-05 07:00:00
795,62.0,2019-09-05 08:00:00
796,45.0,2019-09-05 09:00:00
797,28.0,2019-09-05 10:00:00
798,57.0,2019-09-05 11:00:00
799,46.0,2019-09-05 12:00:00
800,20.0,2019-09-05 13:00:00
801,18.0,2019-09-05 14:00:00
802,34.0,2019-09-05 15:00:00
803,28.0,2019-09-05 16:00:00
804,45.0,2019-09-05 17:00:00
805,25.0,2019-09-05 18:00:00
806,59.0,2019-09-05 19:00:00
807,58.0,2019-09-05 20:00:00
808,64.0,2019-09-05 21:00:00
