location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T04:30:00.000Z,2019-09-29T10:00:00+05:30,pm25,26.94,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T04:15:00.000Z,2019-09-29T09:45:00+05:30,pm25,26.94,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T03:30:00.000Z,2019-09-29T09:00:00+05:30,pm25,23.19,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T03:15:00.000Z,2019-09-29T08:45:00+05:30,pm25,23.19,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T03:00:00.000Z,2019-09-29T08:30:00+05:30,pm25,23.19,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T02:45:00.000Z,2019-09-29T08:15:00+05:30,pm25,31.94,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T02:30:00.000Z,2019-09-29T08:00:00+05:30,pm25,31.94,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T02:00:00.000Z,2019-09-29T07:30:00+05:30,pm25,31.88,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T01:45:00.000Z,2019-09-29T07:15:00+05:30,pm25,27.07,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T01:30:00.000Z,2019-09-29T07:00:00+05:30,pm25,27.07,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T01:15:00.000Z,2019-09-29T06:45:00+05:30,pm25,27.07,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
