,time,north_east,south_east,south_west,north_west
178,2019-07-08 10:00:00,0.0,0.0,0.0,0.0
179,2019-07-08 11:00:00,0.0,0.0,0.0,0.0
180,2019-07-08 12:00:00,0.0,0.0,0.0,0.0
181,2019-07-08 13:00:00,0.0,0.0,0.0,0.0
182,2019-07-08 14:00:00,0.0,0.0,0.0,0.0
183,2019-07-08 15:00:00,0.0,0.0,0.0,0.0
184,2019-07-08 16:00:00,0.0,0.0,0.0,0.0
185,2019-07-08 17:00:00,0.0,0.0,0.0,0.0
186,2019-07-08 18:00:00,0.0,0.0,0.0,0.0
187,2019-07-08 19:00:00,0.0,306.6875,300.7,0.0
188,2019-07-08 20:00:00,0.0,0.0,0.0,0.0
189,2019-07-08 21:00:00,0.0,0.0,312.46000000000004,0.0
190,2019-07-08 22:00:00,0.0,0.0,0.0,0.0
191,2019-07-08 23:00:00,0.0,0.0,0.0,0.0
192,2019-07-09 00:00:00,0.0,0.0,0.0,0.0
193,2019-07-09 01:00:00,0.0,0.0,0.0,0.0
194,2019-07-09 02:00:00,0.0,0.0,0.0,0.0
195,2019-07-09 03:00:00,0.0,0.0,0.0,0.0
196,2019-07-09 04:00:00,0.0,0.0,0.0,0.0
197,2019-07-09 05:00:00,0.0,0.0,0.0,0.0
198,2019-07-09 06:00:00,0.0,0.0,0.0,0.0
199,2019-07-09 07:00:00,0.0,0.0,0.0,0.0
200,2019-07-09 08:00:00,0.0,337.70000000000005,340.0,335.29999999999995
201,2019-07-09 09:00:00,0.0,0.0,0.0,0.0
202,2019-07-09 10:00:00,0.0,0.0,0.0,0.0
203,2019-07-09 11:00:00,0.0,0.0,0.0,0.0
204,2019-07-09 12:00:00,0.0,0.0,0.0,0.0
205,2019-07-09 13:00:00,0.0,0.0,0.0,0.0
206,2019-07-09 14:00:00,0.0,0.0,0.0,0.0
207,2019-07-09 15:00:00,0.0,0.0,0.0,0.0
208,2019-07-09 16:00:00,0.0,0.0,0.0,0.0
209,2019-07-09 17:00:00,0.0,0.0,0.0,0.0
210,2019-07-09 18:00:00,0.0,0.0,0.0,0.0
211,2019-07-09 19:00:00,0.0,305.8,0.0,0.0
212,2019-07-09 20:00:00,0.0,0.0,0.0,0.0
213,2019-07-09 21:00:00,0.0,305.5,309.5,303.46666666666664
214,2019-07-09 22:00:00,0.0,0.0,0.0,0.0
215,2019-07-09 23:00:00,0.0,0.0,0.0,0.0
216,2019-07-10 00:00:00,0.0,0.0,0.0,0.0
217,2019-07-10 01:00:00,0.0,0.0,0.0,0.0
218,2019-07-10 02:00:00,0.0,0.0,0.0,0.0
219,2019-07-10 03:00:00,0.0,0.0,0.0,0.0
220,2019-07-10 04:00:00,0.0,0.0,0.0,0.0
221,2019-07-10 05:00:00,0.0,0.0,0.0,0.0
222,2019-07-10 06:00:00,0.0,0.0,0.0,0.0
223,2019-07-10 07:00:00,0.0,0.0,0.0,0.0
224,2019-07-10 08:00:00,344.97499999999997,338.7818181818182,332.6,332.05
225,2019-07-10 09:00:00,0.0,0.0,0.0,0.0
226,2019-07-10 10:00:00,0.0,0.0,0.0,0.0
227,2019-07-10 11:00:00,0.0,0.0,0.0,0.0
228,2019-07-10 12:00:00,0.0,0.0,0.0,0.0
229,2019-07-10 13:00:00,0.0,0.0,0.0,0.0
230,2019-07-10 14:00:00,0.0,0.0,0.0,0.0
231,2019-07-10 15:00:00,0.0,0.0,0.0,0.0
232,2019-07-10 16:00:00,0.0,0.0,0.0,0.0
233,2019-07-10 17:00:00,0.0,0.0,0.0,0.0
234,2019-07-10 18:00:00,0.0,0.0,0.0,0.0
235,2019-07-10 19:00:00,0.0,0.0,0.0,0.0
236,2019-07-10 20:00:00,0.0,0.0,305.4,0.0
237,2019-07-10 21:00:00,0.0,0.0,0.0,0.0
238,2019-07-10 22:00:00,0.0,0.0,0.0,0.0
239,2019-07-10 23:00:00,0.0,0.0,0.0,0.0
240,2019-07-11 00:00:00,0.0,0.0,0.0,0.0
241,2019-07-11 01:00:00,0.0,0.0,0.0,0.0
242,2019-07-11 02:00:00,0.0,0.0,0.0,0.0
243,2019-07-11 03:00:00,0.0,0.0,0.0,0.0
244,2019-07-11 04:00:00,0.0,0.0,0.0,0.0
245,2019-07-11 05:00:00,0.0,0.0,0.0,0.0
246,2019-07-11 06:00:00,0.0,0.0,0.0,0.0
247,2019-07-11 07:00:00,0.0,337.20000000000005,0.0,0.0
248,2019-07-11 08:00:00,333.4,0.0,338.5,0.0
249,2019-07-11 09:00:00,0.0,0.0,0.0,0.0
250,2019-07-11 10:00:00,0.0,0.0,0.0,0.0
251,2019-07-11 11:00:00,0.0,0.0,0.0,0.0
